# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_name" "-a" "GTF/gencode.v49.annotation.gtf" "-o" "count_lung.txt" "-T" "8" "-p" "alignment2/empty_one.sort.bam" "alignment2/empty_two.sort.bam" "alignment2/empty_three.sort.bam" "alignment2/over_one.sort.bam" "alignment2/over_two.sort.bam" "alignment2/over_three.sort.bam" 
Geneid	empty_one	empty_two	empty_three	over_one	over_two	over_three
DDX11L16	0	0	0	6	0	0
DDX11L1	0	0	0	0	0	0
WASH7P	153	72	91	179	154	137
MIR6859-1	0	0	0	0	0	0
MIR1302-2HG	0	1	1	0	1	2
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
ENSG00000308361	0	0	0	0	0	0
ENSG00000290826	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
ENSG00000241860	1	0	0	0	3	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	0	0
CICP27	0	3	0	0	0	0
ENSG00000308579	0	0	1	0	2	0
ENSG00000268903	1	0	0	0	1	0
ENSG00000269981	2	1	0	2	0	1
ENSG00000239906	0	0	0	0	0	0
ENSG00000310528	0	0	0	0	0	0
RNU6-1100P	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
DDX11L2	1	0	1	3	3	2
WASH9P	156	93	83	244	119	135
DDX11L17	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
ENSG00000308625	0	1	0	0	0	0
ENSG00000308544	0	0	0	0	0	0
ENSG00000292994	4	0	4	4	4	0
ENSG00000228463	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	2	1
RPL23AP24	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000290385	4	6	6	7	7	4
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0
CICP7	0	0	0	0	0	1
ENSG00000250575	0	1	0	2	0	0
U6	2	5	1	0	1	6
ENSG00000293331	1	0	0	0	0	0
LINC00115	52	94	64	63	95	59
ENSG00000235146	0	0	0	2	0	0
MTND1P23	17	31	19	35	27	19
MTND2P28	3637	3870	3321	3448	3667	3646
MTCO1P12	433	309	163	300	274	254
ENSG00000278791	0	0	0	0	0	0
MTCO2P12	2	5	11	11	6	9
MTATP8P1	16	2	2	0	0	1
MTATP6P1	14096	21242	13683	16301	15660	16454
MTCO3P12	17	26	13	26	25	15
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0
CICP3	0	0	0	2	0	1
RNU6-1199P	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0
LINC01409	25	33	38	37	18	17
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0
FAM87B	0	7	2	4	0	2
LINC01128	439	428	388	476	526	513
ENSG00000297178	4	4	1	2	18	4
ENSG00000297224	2	0	0	0	0	0
FAM41C	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000296088	0	0	0	0	0	0
ENSG00000272438	21	27	28	40	54	42
ENSG00000298603	0	0	0	0	0	0
LINC02593	0	0	0	0	0	0
SAMD11	1	0	0	4	8	0
NOC2L	5024	3629	3880	4481	4615	5092
KLHL17	335	309	254	369	345	381
PLEKHN1	133	73	81	134	156	163
PERM1	0	0	0	0	2	0
ENSG00000303599	0	0	0	0	0	0
ENSG00000272512	15	18	10	21	26	24
HES4	822	200	502	999	898	583
ENSG00000303623	4	6	4	6	3	8
ISG15	1232	478	1126	1111	1181	1311
ENSG00000303614	0	0	0	0	0	0
ENSG00000231702	0	0	0	0	0	1
ENSG00000224969	0	4	2	2	1	3
AGRN	4984	3504	3816	5757	5366	5000
ENSG00000242590	0	0	0	0	0	0
ENSG00000291156	3	4	17	27	41	40
ENSG00000273443	2	2	8	5	6	11
PTPN11BP	0	0	0	0	0	0
ENSG00000304119	3	0	0	0	2	4
ENSG00000304169	0	0	0	0	0	0
RNF223	0	0	0	0	0	0
C1orf159	366	254	262	337	316	302
ENSG00000285812	0	8	4	15	0	6
ENSG00000299943	0	0	0	0	0	0
LINC01342	0	0	0	0	0	0
ENSG00000304965	0	0	0	0	0	0
MIR200B	0	3	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0
TNFRSF18	0	0	0	2	0	0
TNFRSF4	48	22	42	34	20	12
SDF4	10128	5494	6938	8700	8183	7911
B3GALT6	1260	813	903	808	834	815
C1QTNF12	5	2	16	21	10	20
ENSG00000260179	2	0	4	2	2	1
UBE2J2	2535	1813	2032	1972	2103	2193
LINC01786	11	0	14	10	6	6
SCNN1D	18	34	16	40	32	28
ACAP3	679	396	521	673	759	715
MIR6726	0	0	0	0	0	0
PUSL1	375	155	267	324	262	364
INTS11	2361	1922	1838	2166	2143	2114
MIR6727	0	0	0	0	0	0
ENSG00000240731	13	88	42	47	58	42
CPTP	1107	607	796	743	670	771
TAS1R3	4	8	6	2	6	4
DVL1	2106	1026	1272	1646	1531	1553
MIR6808	0	0	0	0	0	0
ENSG00000304860	2	1	1	0	0	0
MXRA8	6	6	6	19	14	2
AURKAIP1	3102	1262	2815	2434	2500	2626
NDUFB4P8	0	0	0	0	0	0
CCNL2	3447	3267	3034	3717	3648	3641
MRPL20-AS1	460	328	365	403	474	439
MRPL20	2169	1419	2246	1711	1904	1946
RN7SL657P	0	0	0	0	0	0
ENSG00000301639	49	20	13	22	32	33
MRPL20-DT	97	60	118	117	62	63
ANKRD65	3	0	13	6	2	0
ANKRD65-AS1	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	4
LINC01770	8	4	10	3	2	2
VWA1	513	186	315	462	390	325
ATAD3C	4	8	2	9	1	4
ATAD3B	2189	1257	1707	1522	1695	1825
ENSG00000290916	3	0	0	4	0	4
ENSG00000284740	0	0	0	0	0	0
ATAD3A	2924	1412	1915	2131	2080	2246
TMEM240	51	16	28	37	28	28
ENSG00000299413	0	0	0	0	1	0
SSU72	4614	4038	4251	3797	3739	4021
SSU72-AS1	8	12	17	20	13	20
ENSG00000274481	0	0	0	0	0	0
FNDC10	96	86	46	82	70	93
ENSG00000286989	6	2	2	4	2	8
ENSG00000272106	50	25	46	60	58	41
MIB2	687	391	430	623	525	610
MMP23B	0	0	0	0	0	0
CDK11B	2199	1525	1507	1713	1658	2080
ENSG00000272004	1	0	0	2	5	1
SLC35E2B	1382	1486	1109	1327	1280	1138
ENSG00000293187	9	39	22	21	22	21
ENSG00000269737	2	10	4	8	5	13
ENSG00000310190	0	2	1	8	9	2
ENSG00000310238	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0
CDK11A	15	6	8	14	34	10
ENSG00000268575	16	18	7	18	15	8
ENSG00000293188	92	150	66	146	124	113
ENSG00000290854	36	25	45	36	66	47
SLC35E2A	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0
NADK	2989	2376	2383	2680	2615	2775
ENSG00000302550	4	6	2	6	0	1
GNB1	15993	17669	14252	14824	15270	15868
GNB1-DT	0	0	0	0	1	1
ENSG00000303984	0	0	0	0	0	0
ENSG00000294910	0	0	2	2	0	0
ENSG00000306476	0	1	0	3	4	0
CALML6	4	0	4	6	12	2
TMEM52	28	14	11	23	21	24
CFAP74	2	2	0	0	0	1
ENSG00000233542	0	0	0	0	0	0
GABRD	0	0	0	0	0	0
ENSG00000304958	0	0	0	0	0	0
PRKCZ-DT	0	0	0	0	0	0
PRKCZ	0	0	2	3	2	2
ENSG00000308181	0	0	0	0	0	0
ENSG00000271806	0	0	2	0	0	0
PRKCZ-AS1	20	14	11	6	3	8
FAAP20	1037	527	986	775	949	793
ENSG00000304038	0	4	0	1	0	0
ENSG00000234396	0	0	0	0	0	0
ENSG00000304143	1	0	0	2	4	0
SKI	3492	3291	2704	3390	3245	3354
ENSG00000295493	1	5	7	10	6	1
ENSG00000287356	7	8	4	0	16	5
MORN1	75	40	50	49	59	40
ENSG00000272161	0	0	0	0	0	0
ENSG00000292993	8	4	6	9	2	9
ENSG00000269896	0	0	0	0	0	0
ENSG00000272420	2	4	0	0	4	2
ENSG00000295371	0	0	0	0	0	0
RER1	4592	4243	3680	4444	4524	4732
PEX10	667	401	532	475	482	372
PLCH2	2	0	0	2	0	0
ENSG00000224387	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0
PANK4	1139	784	785	967	942	810
HES5	0	0	0	0	0	0
ENSG00000272449	18	6	25	14	10	11
TNFRSF14-AS1	17	10	17	14	20	17
ENSG00000307979	0	0	0	0	0	0
TNFRSF14	1095	734	878	738	786	693
ENSG00000225931	0	4	0	0	0	0
ENSG00000307958	0	0	2	0	0	0
ENSG00000228037	4	4	0	0	6	0
ENSG00000289610	0	0	4	0	0	4
PRXL2B	2133	1424	1800	1565	1973	1880
MMEL1	14	15	17	7	10	12
MMEL1-AS1	0	0	0	0	0	2
TTC34	0	4	0	0	6	4
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000302855	0	0	0	0	0	0
ENSG00000295089	0	0	0	0	0	0
ENSG00000300015	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0
MIR4251	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000306427	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000306439	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0
ENSG00000287828	0	0	0	0	0	0
ENSG00000286518	0	0	0	0	0	0
ENSG00000295754	0	0	0	0	0	0
ENSG00000297626	0	0	0	0	0	0
ARHGEF16	39	18	34	34	30	20
ENSG00000272088	2	0	0	0	0	0
MEGF6	930	716	697	1029	915	768
MIR551A	0	0	0	0	0	0
ENSG00000309127	1	0	0	1	0	0
ENSG00000238260	6	4	5	4	4	6
TPRG1L	2725	2902	2318	2893	3291	3093
WRAP73	698	669	690	677	691	682
TP73	0	0	4	2	2	0
TP73-AS3	0	0	0	0	0	0
TP73-AS2	0	0	0	0	0	0
GFOD3P	718	674	641	805	924	836
ENSG00000276189	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0
ENSG00000296834	0	0	0	0	0	0
SMIM1	16	12	8	12	10	6
LRRC47	2377	1755	1766	1944	2211	1991
RN7SL574P	1	2	6	6	0	0
ENSG00000272153	9	14	27	13	20	33
CEP104	1738	1642	1508	1552	1664	1688
DFFB	319	344	318	337	338	393
C1orf174	750	877	688	731	619	771
LINC01134	16	24	19	38	20	28
LINC01346	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000296871	0	0	0	0	0	0
ENSG00000308587	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
ENSG00000301255	0	0	0	0	0	0
ENSG00000299169	0	0	0	0	0	0
ENSG00000302287	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0
ENSG00000306535	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000299517	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000295490	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
ENSG00000300565	2	0	0	0	0	0
ENSG00000303830	0	0	0	0	0	0
AJAP1	2	0	2	0	0	0
ENSG00000287586	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0
ENSG00000309102	0	0	0	0	0	0
ENSG00000309111	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
ENSG00000296716	0	0	0	0	0	0
ENSG00000302269	0	0	0	0	0	0
ENSG00000306645	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000302445	0	0	0	0	0	0
ENSG00000302452	0	0	0	0	0	0
ENSG00000295735	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
